SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Lakh)
PAEL,PAE LTD.,X ,10.0,Batteries - Automobile,Consumer Discretionary,7.01,7.3,7.3,7.02,7.3,13.49,5.0,7.37(5%),6.67(5%),,7.31,3.44,1,4.23,4.23,1.66,-0.23,-13.87,,,0.08
CALCOM,CALCOM VISION LTD.,XT,10.0,Consumer Electronics,Consumer Discretionary,157.9,164.5,164.5,150.05,155.29,192.05,53.15,157.55(5%),142.55(5%),,191.52,42.13,10,2.04,3.58,73.6,3.33,4.52,0.21,0.13,19.93
DYNAVSN,DYNAVISION LTD.,XT,10.0,Diversified Commercial Services,Services,178.0,185.0,186.9,178.0,183.53,240.4,123.5,191.10(5%),172.90(5%),,69.89,31.45,5,12.78,13.12,14.25,10.56,74.14,,,0.84
BCCFUBA,BCC FUBA INDIA LTD.,XT,10.0,Computers Hardware & Equipments,Information Technology,23.05,24.2,24.2,22.1,23.05,34.2,13.7,24.15(5%),21.85(5%),,35.21,21.83,2,0.5,0.79,45.73,2.62,5.74,,,0.41
PRECISIO,PRECISION ELECTRONICS LTD.,XT,10.0,Industrial Equipments,Industrials,48.45,48.1,50.85,46.2,50.71,53.0,22.85,48.60(5%),44.00(5%),,64.12,31.42,10,1.06,1.57,43.62,4.81,11.04,,,3.65
FINELINE,FINE-LINE CIRCUITS LTD.,XT,10.0,Computers Hardware & Equipments,Information Technology,71.0,67.5,71.75,67.45,67.54,99.1,27.05,74.45(5%),67.45(5%),,34.11,22.85,10,1.56,2.61,45.36,4.1,9.03,,,1.42
HBLPOWER,HBL POWER SYSTEMS LTD.-$,B ,1.0,Other Electrical Equipment,Industrials,110.75,111.2,111.7,109.0,110.29,121.8,48.05,131.40(20%),87.60(20%),2.41,3035.28,1123.06,1,3.3,4.52,33.2,3.48,10.49,2.28,2.18,
S&SPOWER,S&S POWER SWITCHGEAR LTD.,T ,10.0,Other Electrical Equipment,Industrials,27.9,27.05,29.25,27.05,27.52,37.95,20.0,30.05(5%),27.25(5%),,17.76,8.88,10,-1.63,-0.91,-17.54,1.6,-9.14,,,0.04
GUJARATPOLY,Gujarat Poly Electronics Ltd,XT,10.0,Other Electrical Equipment,Industrials,56.5,57.9,58.0,53.7,54.74,79.0,12.4,57.60(5%),52.20(5%),,46.94,18.78,10,1.89,2.14,28.99,23.87,82.27,0.12,0.18,9.92
GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,B ,10.0,Electric Utilities,Utilities,83.75,83.55,84.25,83.1,83.49,105.3,68.4,99.90(20%),66.60(20%),,1259.17,465.89,10,13.14,23.62,6.33,0.41,6.43,0.15,,4.11
CMI,CMI LTD.,B ,10.0,Cables - Electricals,Industrials,22.85,23.25,24.45,21.45,23.76,57.3,17.9,28.70(20%),19.20(20%),,38.39,28.02,2,-85.4,-79.07,-0.28,-2.27,808.23,0.19,0.46,10.99
MOTHERSON,Samvardhana Motherson International Ltd,A ,1.0,Auto Components & Equipments,Consumer Discretionary,63.65,63.75,64.45,63.25,63.92,135.93,61.85,70.55(10%),57.75(10%),3.01,43469.87,13910.36,10,2.44,2.91,26.27,0.94,3.57,186.7,4.71,
MINDTECK*,MINDTECK (INDIA) LTD.,B ,10.0,Computers - Software & Consulting,Information Technology,149.95,149.55,153.0,149.0,150.14,294.6,86.05,180.70(20%),120.50(20%),,388.24,132,2,4.9,6.64,30.76,2.73,8.87,,,3.74
HAVELLS,HAVELLS INDIA LTD.,A ,1.0,Consumer Electronics,Consumer Discretionary,1186.1,1179.7,1190.5,1172.4,1180.47,1429.65,1037.8,"1,306.05(10%)","1,068.65(10%)",,74388.43,29755.37,10,17.37,21.85,68.36,12.07,17.66,0.9,,96.37
ACIIN,ACI INFOCOM LTD.,X ,1.0,Computers Hardware & Equipments,Information Technology,0.99,0.99,1.01,0.97,0.99,2.62,0.81,1.20(20%),0.80(20%),,11.05,8.51,10,-,-,3683.03,0.66,0.02,3.14,2.79,2.77
SBECSYS,SBEC SYSTEMS (INDIA) LTD.,XT,10.0,Trading & Distributors,Services,8.57,8.99,8.99,8.99,8.89,8.99,3.45,9.43(5%),8.55(5%),,8.99,4.41,1,1.3,1.3,6.92,-0.88,-12.72,,,0.0
INCAP,INCAP LTD.,XT,10.0,Other Electrical Equipment,Industrials,39.0,40.9,40.95,39.2,40.92,76.25,24.1,42.95(5%),38.95(5%),,19.05,5.91,10,1.78,2.61,23.02,1.33,5.77,,,0.36
GUJINTRX,GUJARAT INTRUX LTD.-$,X ,10.0,Castings & Forgings,Industrials,130.2,130.25,133.75,128.0,130.81,174.9,101.0,159.05(20%),106.05(20%),,45.53,17.76,10,12.4,16.99,10.69,0.85,7.98,,,5.88
IGARASHI,IGARASHI MOTORS INDIA LTD.,B ,10.0,Auto Components & Equipments,Consumer Discretionary,407.25,409.45,415.7,406.2,409.99,579.0,249.65,490.25(20%),326.85(20%),,1285.91,321.48,10,-2.15,12.06,-190.11,2.93,-1.54,,,15.69
SYMPHONY,Symphony Limited,A ,2.0,Consumer Electronics,Consumer Discretionary,842.15,846.8,848.0,840.7,844.56,1214.0,828.9,"1,014.90(20%)",676.60(20%),,5916.61,1419.99,10,20.3,21.16,41.67,7.15,17.17,,,2.07
PANELEC,PAN ELECTRONICS INDIA LTD.,XT,10.0,Industrial Equipments,Industrials,49.5,47.05,47.05,47.05,47,62.75,21.0,49.40(5%),44.70(5%),,18.82,5.46,10,-11.23,-9.88,-4.19,-1.3,31,,,0.01
VXLINSTR,VXL INSTRUMENTS LTD.,XT,10.0,Consumer Electronics,Consumer Discretionary,9.3,9.25,9.3,9.25,9.28,12.36,5.22,9.75(5%),8.83(5%),,12.38,11.39,10,0.04,0.36,247.57,2.17,0.87,,,0.13
SHYAMTEL,SHYAM TELECOM LTD.,T ,10.0,Trading & Distributors,Services,9.8,10.0,10.0,10.0,10,17.95,8.63,10.50(5%),9.50(5%),,11.27,3.83,10,-4.27,-4.1,-2.34,-0.62,26.57,,,0.0
LEENEE,LEE & NEE SOFTWARES (EXPORTS) LTD.,X ,10.0,IT Enabled Services,Information Technology,9.49,9.6,9.6,9.29,9.35,30.95,4.75,9.81(5%),8.89(5%),,52.15,15.64,10,0.04,0.04,259.45,0.96,0.37,0.2,0.15,1.43
PATELSAI,PATELS AIRTEMP (INDIA) LTD.,X ,10.0,Industrial Equipments,Industrials,240.0,242.0,253.0,238.0,245.98,309.75,167.55,299.00(20%),199.40(20%),,126.35,72.02,10,23.45,31.06,10.62,1.14,10.75,,,18.48
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,B ,10.0,Household Appliances,Consumer Discretionary,1700.5,1685.15,1705.3,1654.3,1670.62,1862.55,812.1,"1,825.35(10%)","1,493.55(10%)",,2967.02,326.37,10,15.7,24.2,105.69,10.89,10.3,,,5.08
INTEGSW,INTEGRA SWITCHGEAR LTD.,XT,10.0,Other Electrical Equipment,Industrials,4.52,4.74,4.74,4.74,4.74,4.74,4.52,4.97(5%),4.51(5%),,1.51,0.69,10,-0.69,-0.69,-6.9,1.93,-28.01,,,0.12
ATHENAGLO,Athena Global Technologies Ltd-$,XT,10.0,Computers - Software & Consulting,Information Technology,81.95,85.65,85.65,77.9,78.01,98.15,47.05,83.50(5%),75.60(5%),,94.34,39.62,1,-0.05,0.22,-1662.73,8.19,-0.49,,,2.72
NARMP,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,XT,10.0,Plastic Products - Industrial,Industrials,8.33,8.33,8.33,8.33,8.29,20.19,4.3,8.74(5%),7.92(5%),,3.02,1.63,10,-0.16,-0.13,-52.03,1.31,-2.51,,,0.0
DUTRON,DUTRON POLYMERS LTD.-$,XT,10.0,Plastic Products - Industrial,Industrials,120.6,126.6,126.6,121.0,126.58,226.5,111.9,132.90(5%),120.30(5%),,75.96,18.99,2,5.5,7.47,23.03,3.3,14.32,,,0.39
RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,B ,5.0,Computers - Software & Consulting,Information Technology,27.35,27.15,27.3,26.35,26.8,51.9,22.0,32.40(20%),21.60(20%),,69.41,40.95,2,-5.87,-4.73,-4.6,1.14,-24.81,,0.29,7.81
MAGNAELQ,MAGNA ELECTRO CASTINGS LTD.-$,XT,10.0,Castings & Forgings,Industrials,331.85,338.0,338.0,320.05,328.75,399.55,150.95,350.05(5%),316.75(5%),,141.1,62.08,10,25.26,36.81,13.2,1.8,13.65,,,8.8
MARSONS,MARSONS LIMITED,Z ,1.0,Other Electrical Equipment,Industrials,3.64,3.6,3.7,3.57,3.6,16.25,3.57,3.66(2%),3.52(2%),,44.88,1.35,10,-0.1,-0.01,-35.42,-179.5,510.89,4.31,8.87,31.97
ELNET,ELNET TECHNOLOGIES LTD.-$,X ,10.0,IT Enabled Services,Information Technology,152.6,156.95,156.95,151.2,153.23,205.5,125.0,181.55(20%),121.05(20%),,60.52,27.23,10,31.54,39.77,4.8,0.55,11.5,,,0.46
ACCEL,Accel Ltd,X ,2.0,Computers - Software & Consulting,Information Technology,16.85,16.85,17.4,16.7,16.86,39.8,10.75,20.00(20%),13.40(20%),,95.72,26.8,1,0.83,1.93,20.18,1.24,6.16,0.37,0.26,4.3
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,B ,10.0,Other Electrical Equipment,Industrials,93.05,93.2,94.1,90.45,91.87,172.75,66.3,96.10(5%),87.00(5%),,335.44,251.58,10,-0.29,3.9,-316.46,1.75,-0.55,0.2,,7.38
ROTO,ROTO PUMPS LTD.,B ,2.0,Compressors & Pumps,Industrials,412.15,429.8,429.8,409.95,422.28,515.0,286.0,494.75(20%),329.85(20%),,647.47,194.24,10,15.54,19.02,26.52,4.62,17.42,,,9.63
TTKPRESTIG,TTK PRESTIGE LTD.,A ,1.0,Household Appliances,Consumer Discretionary,937.05,937.05,942.0,908.85,926.44,1269.6,748.55,"1,099.95(20%)",733.35(20%),,12706.05,3684.76,10,23.38,26.46,39.21,7.49,19.1,0.2,,71.7
DHINDIA,D&H India Ltd-$,XT,10.0,Industrial Equipments,Industrials,62.3,62.7,65.4,59.25,62.91,70.15,19.8,66.25(5%),59.95(5%),,46.69,21.95,1,4.59,6.72,13.75,1.5,10.94,0.34,0.24,15.14
RAJGLOWIR,RAJRATAN GLOBAL WIRE LTD.,B ,2.0,Auto Components & Equipments,Consumer Discretionary,879.9,864.3,883.95,857.75,869.4,1409.05,381.2,960.85(10%),786.15(10%),1.21,4434.85,1507.85,5,15.14,16.83,57.71,18.07,31.31,0.33,0.14,
SURANAT&P,Surana Telecom And Power Limited,B ,1.0,Electric Utilities,Utilities,10.77,10.65,11.04,10.65,10.89,17.97,7.5,11.93(10%),9.77(10%),,147.3,33.88,5,0.84,1.18,12.9,1.32,10.2,0.13,,0.46
ONWARDTEC,ONWARD TECHNOLOGIES LTD.,B ,10.0,IT Enabled Services,Information Technology,275.0,268.9,279.0,268.9,274.03,428.15,215.05,331.25(20%),220.85(20%),,611.52,183.46,5,5.77,10.32,47.81,4.13,8.63,,,4.56
CENTUM,CENTUM ELECTRONICS LTD.,B ,10.0,Industrial Electronics,Industrials,599.05,600.0,614.0,590.0,603.06,659.2,390.0,714.90(20%),476.60(20%),,767.61,314.72,10,15.51,28.22,38.42,2.87,7.48,,,14.78
ALFATRAN,ALFA TRANSFORMERS LTD.,X ,10.0,Other Electrical Equipment,Industrials,7.1,7.45,7.45,7.12,7.4,9.69,5.4,7.75(5%),7.03(5%),,6.76,3.58,10,-3.46,-2.25,-2.14,0.5,-23.54,,,0.1
NHCFOODS,NHC FOODS LTD.,XT,10.0,Other Food Products,Fast Moving Consumer Goods,24.0,24.5,24.5,23.3,23.51,28.65,13.0,24.50(5%),22.20(5%),,27.68,16.06,10,1.3,2.31,17.92,1.17,6.54,,,1.06
PVP,PVP VENTURES LTD.,B ,10.0,Residential- Commercial Projects,Consumer Discretionary,8.3,8.38,8.38,8.11,8.23,11.25,4.52,8.70(5%),7.88(5%),,203.15,85.32,10,-18.58,-18.55,-0.45,2.51,-562.55,0.75,0.31,2.53
TRIGYN,TRIGYN TECHNOLOGIES LTD.,B ,10.0,Computers - Software & Consulting,Information Technology,102.0,101.2,102.8,100.1,101.23,218.6,86.65,121.30(20%),80.90(20%),,311.24,171.18,1,-2.08,-0.84,-48.58,1.68,-3.45,,,4.63
KEI,KEI INDUSTRIES LTD.,A ,2.0,Cables - Electricals,Industrials,1639.3,1636.7,1636.7,1580.5,1603.3,1662.45,894.9,"1,915.60(20%)","1,277.10(20%)",1.47,14397.87,8782.7,10,47.43,53.63,33.66,6.14,18.25,0.45,,
INDLMETER,IMP POWERS LTD.,Z ,10.0,Heavy Electrical Equipment,Industrials,7.93,8.0,8.24,7.54,7.8,27.16,6.76,8.05(5%),7.29(5%),,6.62,4.17,1,-80.89,-72.46,-0.09,0.42,-441.06,0.22,0.35,2.72
KEERTHI,KEERTHI INDUSTRIES LTD.,XT,10.0,Cement & Cement Products,Commodities,135.3,140.65,140.65,136.4,136.83,228.55,119.1,143.20(5%),129.60(5%),,109.35,27.34,10,29.48,41.11,4.63,1.24,26.83,,,0.14
BHEEMACEM,BHEEMA CEMENTS LTD.,XT,10.0,Cement & Cement Products,Commodities,165.0,171.0,171.0,157.0,162.79,173.0,13.65,168.00(5%),152.00(5%),,521.76,10.44,10,-13.54,-2.66,-11.81,4.22,-35.71,,,4.81
GSCLCEMENT,GUJARAT SIDHEE CEMENT LTD.,B ,10.0,Cement & Cement Products,Commodities,39.8,39.75,40.35,39.2,39.96,52.0,25.5,47.20(20%),31.50(20%),,351.64,105.49,10,1.54,2.75,25.49,0.74,2.9,0.16,,2.47
SURAJ,SURAJ PRODUCTS LTD.,Z ,10.0,Iron & Steel Products,Industrials,94.3,98.95,98.95,89.6,93.94,157.4,63.05,97.70(5%),88.40(5%),,106.08,27.58,1,20.23,27.52,4.6,1.36,29.46,,,8.19
APCL,ANJANI PORTLAND CEMENT LTD.-$,B ,10.0,Cement & Cement Products,Commodities,218.0,217.75,220.0,213.3,218.15,429.0,181.7,257.15(20%),171.45(20%),,541.87,124.63,5,3.69,11.18,58.14,1.47,2.53,,,4.18
MODINATUR,Modi Naturals Limited,X ,10.0,Other Agricultural Products,Fast Moving Consumer Goods,209.3,215.0,215.0,206.0,209.75,300.0,99.1,247.30(20%),164.90(20%),,260.85,83.47,2,6.59,7.72,31.26,3.38,10.8,,,4.93
PRSNTIN,PRASHANT INDIA LTD.,XT,10.0,Other Textile Products,Consumer Discretionary,10.0,10.0,10.0,10.0,10,12.0,1.75,10.50(5%),9.50(5%),,4.24,3.43,10,-0.41,-0.18,-24.62,-0.13,0.53,,,0.0
SHAHFOOD,SHAH FOODS LTD.,X ,10.0,Packaged Foods,Fast Moving Consumer Goods,24.75,25.95,25.95,25.95,25.95,44.0,24.3,27.20(5%),24.70(5%),,1.55,0.82,10,-4.44,-4.44,-5.85,-6.28,107.29,,,0.03
ZKHANDEN,KHANDELWAL EXTRACTION LTD.,XT,10.0,Other Agricultural Products,Fast Moving Consumer Goods,88.75,86.05,92.95,84.5,87.77,92.95,12.1,95.45(5%),86.45(5%),,7.73,4.72,10,5.42,5.8,16.77,3.71,22.1,,,1.31
TASTYBIT,TASTY BITE EATABLES LTD.,A ,10.0,Packaged Foods,Fast Moving Consumer Goods,12000.0,11956.05,12000.0,11795.15,11860.75,16980.6,8012.6,"14,208.00(20%)","9,472.00(20%)",,3038.14,729.15,10,42.71,139.95,277.23,13.99,5.05,,,12.34
RITESHIN,RITESH INTERNATIONAL LTD.,XT,10.0,Commodity Chemicals,Commodities,89.4,91.9,91.95,88.15,89.64,122.95,26.75,93.00(5%),84.20(5%),,75.78,37.13,10,5.81,6.36,15.24,4.21,27.62,,,7.14
AVTNPL,AVT NATURAL PRODUCTS LTD.,B ,1.0,Other Agricultural Products,Fast Moving Consumer Goods,113.8,114.5,118.25,111.45,114.74,135.2,64.0,135.70(20%),90.50(20%),,1722.33,413.36,10,5.21,6.12,21.72,4.53,20.87,0.29,0.17,19.44
HNDFDS,HINDUSTAN FOODS LTD.,A ,2.0,Diversified FMCG,Fast Moving Consumer Goods,501.65,503.65,506.0,494.0,500.42,568.0,328.73,597.05(20%),398.05(20%),,5609.51,1795.04,1,4.67,6.78,106.5,18.21,17.1,,,35.73
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$,B ,10.0,Other Textile Products,Consumer Discretionary,104.05,105.55,105.55,102.95,103.99,238.0,102.55,123.60(20%),82.40(20%),,410.3,110.78,10,37.22,49.54,2.77,0.46,16.69,,,4.36
VADILENT,VADILAL ENTERPRISES LTD.,XT,10.0,Dairy Products,Fast Moving Consumer Goods,2454.55,2491.0,2491.0,2331.9,2407.84,4348.5,1402.05,"2,544.15(5%)","2,301.85(5%)",,209.02,98.24,10,211.12,344,11.48,39.54,344.49,,,2.94
VADILALIND,VADILAL INDUSTRIES LTD.-$,B ,10.0,Dairy Products,Fast Moving Consumer Goods,2250.35,2240.8,2248.85,2177.4,2214.44,2857.75,827.3,"2,679.90(20%)","1,786.60(20%)",,1605.22,545.78,10,66.49,94.08,33.59,7.32,21.78,,,94.36
ASHAI,ASHIANA AGRO INDUSTRIES LTD.,XT,10.0,Edible Oil,Fast Moving Consumer Goods,7.46,7.46,7.46,7.46,7.45,18.55,6.18,7.83(5%),7.09(5%),,3.43,2.54,10,0.05,0.05,142.98,1.42,0.99,,,0.01
ADFFOODS,ADF FOODS LTD.-$,B ,10.0,Packaged Foods,Fast Moving Consumer Goods,705.45,701.5,715.0,701.5,705.75,940.5,631.0,852.15(20%),568.15(20%),,1560.39,514.93,10,18.53,21,38.32,4.47,11.66,,,0.93
RGRL,Retro Green Revolution Ltd,X ,10.0,Tea & Coffee,Fast Moving Consumer Goods,10.18,10.2,10.2,9.35,9.45,28.75,8.22,11.98(20%),8.00(20%),,4.83,4.63,10,0.96,0.96,10.4,1.2,11.51,,,0.14
WILLIMFI,WILLIAMSON FINANCIAL SERVICES LTD.,XT,10.0,Non Banking Financial Company (NBFC),Financial Services,6.54,6.85,6.85,6.85,6.85,7.35,3.42,7.19(5%),6.51(5%),,5.73,2.12,10,-35.41,-35.41,-0.19,-0.02,9.09,,,0.03
AJANTSOY,AJANTA SOYA LTD.,X ,2.0,Edible Oil,Fast Moving Consumer Goods,41.9,41.15,43.0,34.0,40.93,69.38,23.96,49.05(20%),32.75(20%),1.01,329.18,174.46,10,5.53,5.81,7.4,2.67,36.11,1.8,2.47,
WILLAMAGOR,WILLIAMSON MAGOR & COMPANY LTD.,T ,10.0,Non Banking Financial Company (NBFC),Financial Services,35.8,34.05,34.05,34.05,34,41.65,16.5,35.75(5%),32.35(5%),,37.31,14.18,2,-1.85,-1.83,-18.45,-0.24,1.32,,,0.0
RICHIRICH,Richirich Inventures Limited,X ,5.0,Trading & Distributors,Services,3.36,3.52,3.52,3.51,3.52,6.11,2.57,3.69(5%),3.35(5%),,1.69,1.28,10,-0.07,-0.06,-51.2,0.95,-1.85,,,0.2
SIEL,Superior Industrial Enterprises Limited,XT,10.0,Edible Oil,Fast Moving Consumer Goods,81.6,77.55,77.55,77.55,77.55,110.6,17.75,81.40(5%),73.70(5%),,107.41,56.93,10,0.7,0.82,111.42,2.38,2.14,,,0.26
SPTRSHI,SAPTARISHI AGRO INDUSTRIES LTD.,XT,10.0,Other Agricultural Products,Fast Moving Consumer Goods,12.0,12.25,12.25,12.25,12.25,14.43,10.0,12.86(5%),11.64(5%),,41.68,10.42,10,0.16,0.16,77.76,8.81,11.37,,,0.0
SRDAPRT,SARDA PROTEINS LTD.,XT,10.0,Edible Oil,Fast Moving Consumer Goods,214.4,225.1,225.1,225.1,225.1,225.1,22.1,236.35(5%),213.85(5%),,38.85,27.97,10,1.82,1.91,123.73,16.24,13.13,,,5.51
SANWARIA,Sanwaria Consumer Ltd-$,Z ,1.0,Other Food Products,Fast Moving Consumer Goods,0.77,0.77,0.77,0.75,0.76,2.03,0.6,0.79(5%),0.73(5%),,55.94,46.43,10,-0.07,0.02,-11.38,-0.1,0.85,4.51,3.41,2.59
PRIMAGR,PRIMA AGRO LTD.,XT,10.0,Other Agricultural Products,Fast Moving Consumer Goods,27.75,28.5,28.5,26.45,27.19,39.9,23.4,27.75(5%),25.15(5%),,13.74,8.24,10,4.07,5.36,6.5,1.01,15.52,,,0.53
MADHURIND,MADHUR INDUSTRIES LTD.,XT,10.0,Other Agricultural Products,Fast Moving Consumer Goods,5.08,5.06,5.06,5.06,5,6.17,3.63,5.31(5%),4.81(5%),,2.07,1.37,10,-0.92,-0.67,-5.47,0.36,-6.55,,,0.0
TARAI,TARAI FOODS LTD.,XT,10.0,Other Agricultural Products,Fast Moving Consumer Goods,6.49,6.78,6.78,6.17,6.6,11.18,3.62,6.93(5%),6.27(5%),,11.7,5.15,10,-0.25,-0.16,-26.47,-6.73,25.4,,,0.07
MODAIRY,MODERN DAIRIES LTD.,X ,10.0,Packaged Foods,Fast Moving Consumer Goods,12.35,12.75,12.75,12.0,12.3,16.22,7.0,13.50(10%),11.06(10%),,28.64,15.46,10,3.12,5.62,3.93,-0.26,-6.63,0.32,0.2,2.45
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.,X ,10.0,Packaged Foods,Fast Moving Consumer Goods,299.0,295.0,306.8,295.0,299.38,461.0,251.05,355.90(20%),237.30(20%),,237.54,49.88,10,11.46,15.3,25.88,3.14,12.13,,,2.54
PRIMIND,PRIME INDUSTRIES LTD.,Z ,5.0,Edible Oil,Fast Moving Consumer Goods,6.0,5.9,5.9,5.7,5.87,11.75,4.56,6.19(5%),5.61(5%),,9.24,3.97,10,-0.05,-0.05,-108.65,0.44,-0.41,,,0.04
VIKASWSP,VIKAS WSP LTD.,Z ,1.0,Other Agricultural Products,Fast Moving Consumer Goods,2.04,2.0,2.1,1.98,2.05,6.01,1.91,2.14(5%),1.94(5%),,41.71,35.45,10,-7.56,-5.87,-0.27,0.04,-15.5,1.48,0.44,0.91
JATALIA,Jatalia Global Ventures Ltd,Z ,10.0,IT Enabled Services,Information Technology,4.42,4.35,4.35,4.2,4.2,6.36,3.14,4.41(5%),3.99(5%),,1.56,1.21,1,-13.18,-12.85,-0.32,0.07,-21.55,,,0.04
VSFPROJ,VSF PROJECTS LTD.,XT,10.0,Civil Construction,Industrials,54.95,56.8,56.8,52.25,52.52,61.6,11.0,59.55(5%),53.95(5%),,33.31,18.98,10,-0.09,0.02,-616.78,123.37,-19.85,,,1.71
BANSTEA,BANSISONS TEA INDUSTRIES LTD.,ZP,10.0,Tea & Coffee,Fast Moving Consumer Goods,8.16,7.8,7.8,7.8,7.8,8.82,3.07,8.19(5%),7.41(5%),,4.94,3.8,10,-9.67,-8.84,-0.81,0.81,-100.76,,,0.04
POONADAL,POONA DAL & OIL INDUSTRIES LTD.,X ,10.0,Edible Oil,Fast Moving Consumer Goods,57.2,59.9,59.9,57.2,58.6,113.45,44.55,70.00(20%),46.70(20%),,33.31,9.33,10,2.42,2.93,24.07,0.62,2.58,,,2.42
TRANSFD,TRANSGLOBE FOODS LTD.,X ,10.0,Other Beverages,Fast Moving Consumer Goods,78.6,78.0,78.0,78.0,78,137.95,58.0,81.90(5%),74.10(5%),,1.13,0.99,10,-2.48,-2.48,-31.39,-31.58,100,,,0.02
ANIKINDS,ANIK INDUSTRIES LTD.,B ,10.0,Trading & Distributors,Services,41.25,41.9,43.8,41.15,42.22,51.05,19.1,49.60(20%),33.10(20%),,114.76,68.86,10,5.27,5.55,7.85,0.42,5.3,0.21,0.15,6.4
SHINDL,SHARAT INDUSTRIES LTD.,XT,10.0,Animal Feed,Fast Moving Consumer Goods,57.15,57.8,59.7,57.35,58.99,73.05,41.65,62.30(5%),56.40(5%),,130.63,74.46,1,2.13,3.93,27.86,1.86,6.67,,,2.22
DATIWARE,Datiware Maritime Infra Ltd,P ,10.0,Shipping,Services,18.85,17.95,17.95,17.95,17.95,19.8,17.95,18.80(5%),17.10(5%),,8.98,2.24,10,-2.3,-1.87,-7.79,-28.95,370.42,,,0.23
KMGMILK,KMG MILK FOOD LTD.,P ,10.0,Packaged Foods,Fast Moving Consumer Goods,22.0,20.9,20.9,20.9,20.9,22.0,15.08,21.90(5%),19.90(5%),,11.09,3.99,10,0.4,0.65,52.3,-11,-21.03,,,0.04
KSE,KSE LTD.-$,XT,10.0,Packaged Foods,Fast Moving Consumer Goods,1776.85,1801.0,1838.45,1750.0,1789.34,2499.95,1750.0,"1,890.00(5%)","1,710.00(5%)",,576,414.72,5,-4.11,6.24,-438.36,2.59,-0.59,,,3.04
PIONAGR,PIONEER AGRO EXTRACTS LTD.,X ,10.0,Edible Oil,Fast Moving Consumer Goods,8.02,7.62,7.62,7.62,7.62,8.02,6.94,8.00(5%),7.24(5%),,3.3,1.32,10,-0.02,0.07,-471.6,0.63,-0.13,,,0.02
NARBADA,NARBADA GEMS AND JEWELLERY LTD.,XT,10.0,Gems- Jewellery And Watches,Consumer Discretionary,69.85,72.25,72.8,67.5,70.41,79.45,27.6,73.40(5%),66.50(5%),,148,34.04,10,2.31,2.39,30.35,4.05,13.34,,,1.41
VIRATCRA,VIRAT CRANE INDUSTRIES LTD.,X ,10.0,Dairy Products,Fast Moving Consumer Goods,34.55,34.65,34.75,33.35,33.7,49.0,24.95,41.25(20%),27.55(20%),,70.26,15.46,10,3.15,3.31,10.91,1.21,11.1,,,0.51
AMBARPIL,Ambar Protein Industries Ltd,XT,10.0,Edible Oil,Fast Moving Consumer Goods,641.4,673.45,673.45,654.25,672.8,843.5,16.71,707.10(5%),639.80(5%),,387.23,96.81,10,8.73,10.99,77.15,20.28,26.28,,,19.4
CHORDIA,CHORDIA FOOD PRODUCTS LTD.,X ,10.0,Packaged Foods,Fast Moving Consumer Goods,83.4,82.25,83.0,82.2,82.79,148.9,74.95,99.60(20%),66.40(20%),,33.43,9.36,10,-18.34,-14.18,-4.53,1.19,-26.36,,,0.17
CIANAGRO,CIAN Agro Industries & Infrastructure Ltd,XT,10.0,Edible Oil,Fast Moving Consumer Goods,52.25,50.25,54.85,50.25,51.74,84.9,38.95,57.55(5%),52.15(5%),,153.5,41.45,1,0.29,2.72,190.21,1.87,0.98,,,0.12
TAIIND,TAI INDUSTRIES LTD.-$,X ,10.0,Trading & Distributors,Services,41.45,42.95,42.95,40.5,41.01,72.0,23.15,45.00(10%),36.90(10%),,24.57,18.18,10,5.29,5.75,7.74,1.09,14.05,,,0.63
NKIND,N.K.INDUSTRIES LTD.,T ,10.0,Edible Oil,Fast Moving Consumer Goods,41.7,39.65,39.65,39.65,39.56,47.5,29.15,41.60(5%),37.70(5%),,23.83,6.67,10,-3.39,3.67,-11.69,-0.07,0.6,,,0.0
BKV,BKV INDUSTRIES LTD.,XT,1.0,Packaged Foods,Fast Moving Consumer Goods,8.4,8.4,8.78,8.0,8.71,15.41,5.96,9.13(5%),8.27(5%),,13.44,4.03,10,0.09,0.1,92.69,3.3,3.55,,,0.55
NCCBLUE,NCC BLUE WATER PRODUCTS LTD.,P ,10.0,Packaged Foods,Fast Moving Consumer Goods,6.28,6.0,6.0,6.0,6,13.35,2.8,6.30(5%),5.70(5%),,4.65,2.98,10,0.4,0.4,14.9,0.62,4.17,,,0.03
